ID	Cell Type	Cell Subtype
198298	colorectal_tumor	colorectal_tumor (KRAS-high)
198299	colorectal_tumor	colorectal_tumor (EMT-high)
198307	colorectal_tumor	colorectal_tumor (EMT-high)
198315	colorectal_tumor	colorectal_tumor (MYC-high)
198316	Fibroblasts	Fibroblasts (iCAF)
198319	colorectal_tumor	colorectal_tumor (MSI)
198322	B_cells	B_cells (plasma)
198330	colorectal_tumor	colorectal_tumor (KRAS-high)
198336	colorectal_tumor	colorectal_tumor (MSI)
198341	colorectal_tumor	colorectal_tumor (KRAS-high)
198342	Fibroblasts	Fibroblasts (iCAF)
198345	Fibroblasts	Fibroblasts (myCAF)
198346	colorectal_tumor	colorectal_tumor (MSI)
198353	colorectal_tumor	colorectal_tumor (KRAS-high)
198357	colorectal_tumor	colorectal_tumor (EMT-high)
198359	Mast_cells	Mast_cells (KIT-high)
198365	Fibroblasts	Fibroblasts (iCAF)
198369	colorectal_tumor	colorectal_tumor (EMT-high)
198372	Mac_Angio	Mac_Angio (MMP9-high)
198376	TCD4_reg	TCD4_reg (FOXP3-high)
198383	colorectal_tumor	colorectal_tumor (WNT-high)
198392	colorectal_tumor	colorectal_tumor (MYC-high)
198394	colorectal_tumor	colorectal_tumor (WNT-high)
198406	colorectal_tumor	colorectal_tumor (MYC-high)
198408	Mac_LA	Mac_LA (TREM2-high)
198410	colorectal_tumor	colorectal_tumor (KRAS-high)
198416	Fibroblasts	Fibroblasts (iCAF)
198420	RTM_LA	RTM_LA (FOLR2-high)
198422	colorectal_tumor	colorectal_tumor (KRAS-high)
